"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",11709,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=11709","Coleoidea","Bather, 1888","accepted",NA,70,"Subclass",11709,"Coleoidea","Bather, 1888",11707,"Animalia","Mollusca","Cephalopoda",NA,NA,NA,"MolluscaBase eds. (2020). MolluscaBase. Coleoidea. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=11709 on 2020-03-25","urn:lsid:marinespecies.org:taxname:11709",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
"2",11718,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=11718","Octopoda","Leach, 1818","accepted",NA,100,"Order",11718,"Octopoda","Leach, 1818",325343,"Animalia","Mollusca","Cephalopoda","Octopoda",NA,NA,"MolluscaBase eds. (2020). MolluscaBase. Octopoda. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=11718 on 2020-03-25","urn:lsid:marinespecies.org:taxname:11718",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
"3",11725,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=11725","Sepiolidae","Leach, 1817","accepted",NA,140,"Family",11725,"Sepiolidae","Leach, 1817",11713,"Animalia","Mollusca","Cephalopoda","Sepiida","Sepiolidae",NA,"MolluscaBase eds. (2020). MolluscaBase. Sepiolidae Leach, 1817. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=11725 on 2020-03-25","urn:lsid:marinespecies.org:taxname:11725",1,NA,0,0,NA,"exact","2017-11-06T20:32:03.357Z"
"4",11760,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=11760","Ommastrephidae","Steenstrup, 1857","accepted",NA,140,"Family",11760,"Ommastrephidae","Steenstrup, 1857",11730,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae",NA,"MolluscaBase eds. (2020). MolluscaBase. Ommastrephidae Steenstrup, 1857. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=11760 on 2020-03-25","urn:lsid:marinespecies.org:taxname:11760",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
"5",101170,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=101170","Myxine glutinosa","Linnaeus, 1758","accepted",NA,220,"Species",101170,"Myxine glutinosa","Linnaeus, 1758",101166,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Froese, R. and D. Pauly. Editors. (2020). FishBase. Myxine glutinosa Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=101170 on 2020-03-25","urn:lsid:marinespecies.org:taxname:101170",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"6",101174,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=101174","Petromyzon marinus","Linnaeus, 1758","accepted",NA,220,"Species",101174,"Petromyzon marinus","Linnaeus, 1758",101169,"Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","Froese, R. and D. Pauly. Editors. (2020). FishBase. Petromyzon marinus Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=101174 on 2020-03-25","urn:lsid:marinespecies.org:taxname:101174",1,1,1,0,NA,"exact","2008-01-15T17:27:08.177Z"
"7",105732,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105732","Mustelus","Linck, 1790","accepted",NA,180,"Genus",105732,"Mustelus","Linck, 1790",267059,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Mustelus Linck, 1790. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105732 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105732",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"8",105762,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105762","Dipturus","Rafinesque, 1810","accepted",NA,180,"Genus",105762,"Dipturus","Rafinesque, 1810",105711,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus Rafinesque, 1810. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105762 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105762",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"9",105812,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105812","Galeus melastomus","Rafinesque, 1810","accepted",NA,220,"Species",105812,"Galeus melastomus","Rafinesque, 1810",105728,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeus melastomus Rafinesque, 1810. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105812 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105812",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"10",105814,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814","Scyliorhinus canicula","(Linnaeus, 1758)","accepted",NA,220,"Species",105814,"Scyliorhinus canicula","(Linnaeus, 1758)",105729,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Scyliorhinus canicula (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105814",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"11",105815,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105815","Scyliorhinus stellaris","(Linnaeus, 1758)","accepted",NA,220,"Species",105815,"Scyliorhinus stellaris","(Linnaeus, 1758)",105729,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Scyliorhinus stellaris (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105815 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105815",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"12",105820,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105820","Galeorhinus galeus","(Linnaeus, 1758)","accepted",NA,220,"Species",105820,"Galeorhinus galeus","(Linnaeus, 1758)",105731,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeorhinus galeus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105820 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105820",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"13",105821,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105821","Mustelus asterias","Cloquet, 1819","accepted",NA,220,"Species",105821,"Mustelus asterias","Cloquet, 1819",105732,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Mustelus asterias Cloquet, 1819. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105821 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105821",1,0,0,0,NA,"exact","2013-01-08T10:48:02.203Z"
"14",105822,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105822","Mustelus mustelus","(Linnaeus, 1758)","accepted",NA,220,"Species",105822,"Mustelus mustelus","(Linnaeus, 1758)",105732,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Mustelus mustelus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105822 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105822",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"15",105824,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105824","Chimaera monstrosa","Linnaeus, 1758","accepted",NA,220,"Species",105824,"Chimaera monstrosa","Linnaeus, 1758",105733,"Animalia","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","Froese, R. and D. Pauly. Editors. (2020). FishBase. Chimaera monstrosa Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105824 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105824",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"16",105833,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105833","Hexanchus griseus","(Bonnaterre, 1788)","accepted",NA,220,"Species",105833,"Hexanchus griseus","(Bonnaterre, 1788)",105739,"Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Hexanchus griseus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105833 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105833",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"17",105841,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105841","Lamna nasus","(Bonnaterre, 1788)","accepted",NA,220,"Species",105841,"Lamna nasus","(Bonnaterre, 1788)",105744,"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Froese, R. and D. Pauly. Editors. (2020). FishBase. Lamna nasus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105841 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105841",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"18",105851,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105851","Dasyatis pastinaca","(Linnaeus, 1758)","accepted",NA,220,"Species",105851,"Dasyatis pastinaca","(Linnaeus, 1758)",105751,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis","Froese, R. and D. Pauly. Editors. (2020). FishBase. Dasyatis pastinaca (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105851 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105851",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"19",105865,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105865","Amblyraja radiata","(Donovan, 1808)","accepted",NA,220,"Species",105865,"Amblyraja radiata","(Donovan, 1808)",105760,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Amblyraja radiata (Donovan, 1808). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105865 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105865",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"20",105869,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105869","Dipturus batis","(Linnaeus, 1758)","accepted",NA,220,"Species",105869,"Dipturus batis","(Linnaeus, 1758)",105762,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus batis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105869 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105869",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"21",105872,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105872","Dipturus oxyrinchus","(Linnaeus, 1758)","accepted",NA,220,"Species",105872,"Dipturus oxyrinchus","(Linnaeus, 1758)",105762,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus oxyrinchus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105872 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105872",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"22",105873,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105873","Leucoraja circularis","(Couch, 1838)","accepted",NA,220,"Species",105873,"Leucoraja circularis","(Couch, 1838)",105763,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Leucoraja circularis (Couch, 1838). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105873 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105873",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"23",105874,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105874","Leucoraja fullonica","(Linnaeus, 1758)","accepted",NA,220,"Species",105874,"Leucoraja fullonica","(Linnaeus, 1758)",105763,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Leucoraja fullonica (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105874 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105874",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"24",105876,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105876","Leucoraja naevus","(Müller & Henle, 1841)","accepted",NA,220,"Species",105876,"Leucoraja naevus","(Müller & Henle, 1841)",105763,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Leucoraja naevus (Müller & Henle, 1841). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105876 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105876",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"25",105883,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105883","Raja clavata","Linnaeus, 1758","accepted",NA,220,"Species",105883,"Raja clavata","Linnaeus, 1758",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Raja clavata Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105883 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105883",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"26",105885,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105885","Raja microocellata","Montagu, 1818","accepted",NA,220,"Species",105885,"Raja microocellata","Montagu, 1818",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Raja microocellata Montagu, 1818. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105885 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105885",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"27",105887,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105887","Raja montagui","Fowler, 1910","accepted",NA,220,"Species",105887,"Raja montagui","Fowler, 1910",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Raja montagui Fowler, 1910. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105887 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105887",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"28",105891,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105891","Raja undulata","Lacepède, 1802","accepted",NA,220,"Species",105891,"Raja undulata","Lacepède, 1802",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Raja undulata Lacepède, 1802. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105891 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105891",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"29",105894,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105894","Rajella fyllae","(Lütken, 1887)","accepted",NA,220,"Species",105894,"Rajella fyllae","(Lütken, 1887)",105767,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella","Froese, R. and D. Pauly. Editors. (2020). FishBase. Rajella fyllae (Lütken, 1887). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105894 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105894",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"30",105913,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105913","Etmopterus spinax","(Linnaeus, 1758)","accepted",NA,220,"Species",105913,"Etmopterus spinax","(Linnaeus, 1758)",105775,"Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Etmopterus spinax (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105913 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105913",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"31",105923,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=105923","Squalus acanthias","Linnaeus, 1758","accepted",NA,220,"Species",105923,"Squalus acanthias","Linnaeus, 1758",105782,"Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Squalus acanthias Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105923 on 2020-03-25","urn:lsid:marinespecies.org:taxname:105923",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"32",106737,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=106737","Lithodidae","Samouelle, 1819","accepted",NA,140,"Family",106737,"Lithodidae","Samouelle, 1819",366102,"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae",NA,"WoRMS (2020). Lithodidae Samouelle, 1819. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=106737 on 2020-03-25","urn:lsid:marinespecies.org:taxname:106737",1,NA,NA,NA,NA,"exact","2008-08-06T15:35:50.753Z"
