from,to
quarter,year
year,quarter
quarter,month
month,quarter
quarter,day
day,quarter
year,month
month,year
year,day
day,year
month,day
day,month
year,daynight
daynight,year
month,daynight
daynight,month
quarter,daynight
daynight,quarter
day,daynight
daynight,day
lat,lon
lon,lat
ship,year
ship,daynight
ship,day
ship,quarter
ship,month
ship,lat
ship,lon
month,lat
month,lon
day,lat
day,lon
year,lat
year,lon
quarter,lat
quarter,lon
daynight,lat
daynight,lon
name,country
genus,country
family,country
order,country
class,country
count,year
count,quarter
count,month
count,day
length,year
length,day
length,quarter
length,month
country,lon
country,lat
hauldur,year
hauldur,quarter
hauldur,month
hauldur,day
hauldur,daynight
gear,lon
gear,lat
order,year
order,quarter
order,month
order,day
order,daynight
class,year
class,quarter
class,month
class,day
class,daynight
family,year
family,quarter
family,month
family,day
family,daynight
genus,year
genus,quarter
genus,month
genus,day
genus,daynight
name,year
name,quarter
name,month
name,day
name,daynight
order,lat
class,lat
family,lat
genus,lat
name,lat
order,lon
class,lon
family,lon
genus,lon
name,lon
depth,lon
depth,lat
order,depth
class,depth
family,depth
genus,depth
name,depth
hauldur,lon
hauldur,lat
length,lon
length,lat
ship,country
