,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1,55,http://www.marinespecies.org/aphia.php?p=taxdetails&id=55,Polyplacophora,"Gray, 1821",accepted,NA,60,Class,55,Polyplacophora,"Gray, 1821",51,Animalia,Mollusca,Polyplacophora,NA,NA,NA,MolluscaBase eds. (2020). MolluscaBase. Polyplacophora. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=55 on 2020-03-25,urn:lsid:marinespecies.org:taxname:55,1,NA,NA,NA,NA,exact,2009-01-30T14:43:20.797Z
2,69,http://www.marinespecies.org/aphia.php?p=taxdetails&id=69,Ischnochitonidae,"Dall, 1889",accepted,NA,140,Family,69,Ischnochitonidae,"Dall, 1889",385404,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,NA,"MolluscaBase eds. (2020). MolluscaBase. Ischnochitonidae Dall, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=69 on 2020-03-25",urn:lsid:marinespecies.org:taxname:69,1,NA,NA,NA,NA,exact,2009-03-19T13:29:13.637Z
3,101,http://www.marinespecies.org/aphia.php?p=taxdetails&id=101,Gastropoda,"Cuvier, 1795",accepted,NA,60,Class,101,Gastropoda,"Cuvier, 1795",51,Animalia,Mollusca,Gastropoda,NA,NA,NA,WoRMS (2020). Gastropoda. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=101 on 2020-03-25,urn:lsid:marinespecies.org:taxname:101,1,1,1,1,NA,exact,2009-03-17T08:27:08.607Z
4,104,http://www.marinespecies.org/aphia.php?p=taxdetails&id=104,Scaphopoda,"Bronn, 1862",accepted,NA,60,Class,104,Scaphopoda,"Bronn, 1862",51,Animalia,Mollusca,Scaphopoda,NA,NA,NA,MolluscaBase eds. (2020). MolluscaBase. Scaphopoda. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104 on 2020-03-25,urn:lsid:marinespecies.org:taxname:104,1,NA,NA,NA,NA,exact,2011-11-23T18:51:54.683Z
5,105,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105,Bivalvia,"Linnaeus, 1758",accepted,NA,60,Class,105,Bivalvia,"Linnaeus, 1758",51,Animalia,Mollusca,Bivalvia,NA,NA,NA,WoRMS (2020). Bivalvia. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105 on 2020-03-25,urn:lsid:marinespecies.org:taxname:105,1,1,1,0,0,exact,2019-08-08T17:02:58.460Z
6,113,http://www.marinespecies.org/aphia.php?p=taxdetails&id=113,Patellidae,"Rafinesque, 1815",accepted,NA,140,Family,113,Patellidae,"Rafinesque, 1815",156481,Animalia,Mollusca,Gastropoda,NA,Patellidae,NA,"WoRMS (2020). Patellidae Rafinesque, 1815. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=113 on 2020-03-25",urn:lsid:marinespecies.org:taxname:113,1,0,0,0,0,exact,2019-05-20T05:59:39.017Z
7,120,http://www.marinespecies.org/aphia.php?p=taxdetails&id=120,Hydrobiidae,"Stimpson, 1865",accepted,NA,140,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,NA,"MolluscaBase eds. (2020). MolluscaBase. Hydrobiidae Stimpson, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=120 on 2020-03-25",urn:lsid:marinespecies.org:taxname:120,1,1,1,NA,NA,exact,2013-03-11T16:18:37.940Z
8,145,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145,Naticidae,"Guilding, 1834",accepted,NA,140,Family,145,Naticidae,"Guilding, 1834",14776,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,NA,"MolluscaBase eds. (2020). MolluscaBase. Naticidae Guilding, 1834. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145 on 2020-03-25",urn:lsid:marinespecies.org:taxname:145,1,NA,NA,NA,NA,exact,2011-04-14T18:31:33.910Z
9,149,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149,Buccinidae,"Rafinesque, 1815",accepted,NA,140,Family,149,Buccinidae,"Rafinesque, 1815",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,NA,"MolluscaBase eds. (2020). MolluscaBase. Buccinidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149 on 2020-03-25",urn:lsid:marinespecies.org:taxname:149,1,NA,NA,NA,NA,exact,2010-10-10T10:26:13.040Z
10,151,http://www.marinespecies.org/aphia.php?p=taxdetails&id=151,Nassariidae,"Iredale, 1916 (1835)",accepted,NA,140,Family,151,Nassariidae,"Iredale, 1916 (1835)",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,NA,"MolluscaBase eds. (2020). MolluscaBase. Nassariidae Iredale, 1916 (1835). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=151 on 2020-03-25",urn:lsid:marinespecies.org:taxname:151,1,1,1,NA,0,exact,2017-05-05T10:33:35.447Z
