step,age_per_site,migration_rates_per_site,abiotic_value_per_site,species,site,summary
1,0.8831168831168831,1.4266368323523149,0.2755490526946787,Platichthys flesus,1,mean
1,0.9315068493150684,1.4349137227025084,0.2823000613223771,Aphia minuta,1,mean
1,0.8823529411764706,1.4152072304404657,0.2746422922953875,Chelidonichthys cuculus,1,mean
1,0.9411764705882353,1.4080231999475772,0.27103861887811365,Dicentrarchus labrax,1,mean
1,0.8421052631578947,1.4331154282947023,0.26011766390535074,Scophthalmus rhombus,1,mean
1,0.8695652173913043,1.438774411046575,0.2747969722233995,Trachinus draco,1,mean
1,0.968421052631579,1.41311252302062,0.28185773035864087,Hippoglossoides platessoides,1,mean
1,0.9333333333333333,1.4186357716469333,0.2785555512502224,Lumpenus lampretaeformis,1,mean
1,0.9523809523809523,1.4181514241714201,0.276860510167471,Lycodes vahlii,1,mean
1,1.0,1.414,0.2916590980983495,Enchelyopus cimbrius,1,mean
1,1.0,1.414,0.2861359589549485,Lycenchelys sarsii,1,mean
1,0.9078947368421053,1.413024274946419,0.26378360889847324,Glyptocephalus cynoglossus,1,mean
1,0.9285714285714286,1.4224461889837667,0.2752334674373421,Platichthys flesus,2,mean
1,0.8452380952380952,1.4101394529472866,0.26450817993495146,Aphia minuta,2,mean
1,0.9466666666666667,1.427222423359128,0.28717146941600546,Chelidonichthys cuculus,2,mean
1,0.8387096774193549,1.426858985669436,0.28429041229232693,Dicentrarchus labrax,2,mean
1,1.0,1.4140000000000004,0.28409073983674293,Scophthalmus rhombus,2,mean
1,0.96,1.3937730166943965,0.2760928590081028,Trachinus draco,2,mean
1,0.8787878787878788,1.4367126553160798,0.28167986159915204,Hippoglossoides platessoides,2,mean
1,0.8490566037735849,1.4389740316051505,0.26489397195217423,Lumpenus lampretaeformis,2,mean
1,0.9285714285714286,1.413765825703148,0.28025132289283855,Lycodes vahlii,2,mean
1,0.9111111111111111,1.4136188191885646,0.2830304222029495,Enchelyopus cimbrius,2,mean
1,0.9166666666666666,1.414,0.26342348508532826,Lycenchelys sarsii,2,mean
1,0.9473684210526315,1.4401476117593592,0.2849084838686383,Glyptocephalus cynoglossus,2,mean
1,1.0,1.4140000000000001,0.287512669927456,Platichthys flesus,3,mean
1,0.7622950819672131,1.4169349343246236,0.25659380637308876,Aphia minuta,3,mean
1,0.875,1.431132892089619,0.27356929576341693,Chelidonichthys cuculus,3,mean
1,0.8026315789473685,1.3968847452088984,0.25794569498539294,Dicentrarchus labrax,3,mean
1,0.9322033898305084,1.4298680802728805,0.2791740693259613,Scophthalmus rhombus,3,mean
1,0.9411764705882353,1.4356008659976514,0.2798114673512627,Trachinus draco,3,mean
1,0.8545454545454545,1.4054432139038135,0.26523504060691583,Hippoglossoides platessoides,3,mean
1,0.9245283018867925,1.405387858307694,0.2676460332011465,Lumpenus lampretaeformis,3,mean
1,1.0,1.414,0.28607352607476616,Lycodes vahlii,3,mean
1,0.9130434782608695,1.4238682790462842,0.27518410398082854,Enchelyopus cimbrius,3,mean
1,0.8571428571428571,1.4237731758279994,0.2684637519438213,Lycenchelys sarsii,3,mean
1,0.8867924528301887,1.381930528118796,0.27065602506970915,Glyptocephalus cynoglossus,3,mean
1,0.9113924050632911,1.4000205722476824,0.27692170004157846,Platichthys flesus,4,mean
1,0.9545454545454546,1.4272028929676601,0.2731688382606402,Aphia minuta,4,mean
1,0.883495145631068,1.4246257764239176,0.2699002700182201,Chelidonichthys cuculus,4,mean
1,1.0,1.414,0.2873415357556591,Dicentrarchus labrax,4,mean
1,0.8888888888888888,1.3818105738490924,0.2726557903270543,Scophthalmus rhombus,4,mean
1,0.9473684210526315,1.4135217041299966,0.28860753143010787,Trachinus draco,4,mean
1,0.9615384615384616,1.432846153846154,0.27755810159613287,Hippoglossoides platessoides,4,mean
1,1.0,1.414,0.2891847519114647,Lumpenus lampretaeformis,4,mean
1,0.92,1.4110292728877953,0.2713146218512461,Lycodes vahlii,4,mean
1,0.85,1.4251208507459137,0.2679157461986961,Enchelyopus cimbrius,4,mean
1,0.9545454545454546,1.426539787738295,0.28747856782091047,Lycenchelys sarsii,4,mean
1,0.8974358974358975,1.428737794152962,0.267351809900008,Glyptocephalus cynoglossus,4,mean
1,0.9473684210526315,1.3891624859051799,0.2741546332645572,Platichthys flesus,5,mean
1,0.9479166666666666,1.4139395472348675,0.27882363591773857,Aphia minuta,5,mean
1,0.8269230769230769,1.4316327243847207,0.26252549196073754,Chelidonichthys cuculus,5,mean
1,1.0,1.414,0.289462322207488,Dicentrarchus labrax,5,mean
1,0.84,1.4193691127200863,0.27742684397148676,Scophthalmus rhombus,5,mean
1,0.967741935483871,1.4223532057600634,0.2779222161792191,Trachinus draco,5,mean
1,1.0,1.414,0.284838531147243,Hippoglossoides platessoides,5,mean
